,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.07794852850674652,0.06664020427636577,0.12486708537346568,0.0837688737771984
1,3,0.09667416601624075,0.08349681797950793,0.1535123955148864,0.10420140073912204
2,6,0.10438007498594999,0.09008015722331185,0.16402013398552476,0.11168694023437108
3,9,0.10649524425824705,0.09210686183402532,0.16765267081945237,0.11429529339213795
4,12,0.10735114873549044,0.09275316523937152,0.16822946757634857,0.11488360795871082
5,15,0.10801033710153829,0.09313414341931564,0.16981625090937374,0.11559547501795134
6,18,0.108653462634216,0.09362534965194957,0.17052947154990078,0.11608946445885873
7,21,0.10886138924462153,0.09367924606372086,0.17044892782063736,0.11608800344322112
8,24,0.10893784084298747,0.0936674441321471,0.1709183327270946,0.11623413779574497
9,27,0.10886759490963512,0.09382357439643632,0.17134981687736453,0.11652592178329471
10,30,0.10867255681537917,0.0936899877334174,0.17079743420846674,0.11628032559422953
11,33,0.10863181840833545,0.09364458411685093,0.17104894272656265,0.11629912074306949
12,36,0.10891189513113482,0.09392684791913879,0.1716796059778686,0.11670574174949672
13,39,0.10878143050897887,0.09390553067869217,0.1715133789593445,0.11668186974869504
14,42,0.10893454957552894,0.09415443228916096,0.171783417795301,0.11701796097038376
15,45,0.10908158782987566,0.09410299310817785,0.17133178709067154,0.11675783248909365
16,48,0.10897296399314517,0.09411298308580353,0.17151040387865332,0.11690821459539498
17,51,0.10923617002308847,0.09429592218937985,0.17144363812472374,0.11688668301448414
18,54,0.10913371679636666,0.09421857701175443,0.1714882480822982,0.11686236406662705
19,57,0.10894343398829968,0.09413999321726055,0.17126206971919647,0.11679981955709728
20,60,0.10884022752227454,0.09405523097298313,0.17177150748929276,0.11689878201122135
21,63,0.10876512884206654,0.09406145397964019,0.17108748599246623,0.11675259146468839
22,66,0.10899611332476206,0.09418278222078948,0.17164927341854386,0.11695962768458233
23,69,0.10866466124949285,0.09387242409472116,0.1715136246832719,0.1167519266764424
24,72,0.10853845054731733,0.09372019474615782,0.171642817469484,0.11661888141940402
25,75,0.10893454712021228,0.0939366095697573,0.17197232246603883,0.11678085198555636
26,78,0.10869960449124254,0.0938221977878647,0.1714364165713695,0.11658238386335917
27,81,0.10857829397950244,0.09366801071975193,0.17098505215371593,0.11632079397145051
28,84,0.10910406831786103,0.09388450360314188,0.17138709858666468,0.11647665693262918
29,87,0.10861604651692008,0.09374519699672389,0.1711200978518697,0.11644226176316085
30,90,0.10857672266228516,0.09370358164360208,0.17146766445267644,0.11650932903471843
31,93,0.10824731431657388,0.0935521373625986,0.17091493242414774,0.11631597875631029
32,96,0.10850360197271737,0.0935951826291371,0.170648094319485,0.11619495094813469
33,99,0.10876694048008834,0.09353762753435621,0.1704755856570968,0.11593960784139679
34,Final,0.10876694048008834,0.09353762753435621,0.1704755856570968,0.11593960784139679
